(state, 0.041153, 214),
(high, 0.040959, 215),
(men, 0.040922, 216),
(away, 0.040769, 217),
(information, 0.040677, 218),
(public, 0.039989, 219),
(help, 0.039957, 220),
(head, 0.039884, 221),
(national, 0.039715, 222),
(often, 0.039607, 223),
(seen, 0.039588, 224),
(school, 0.039500, 225),
(money, 0.039317, 226),
(told, 0.039179, 227),
(fact, 0.038900, 228),
(night, 0.038436, 229),
(further, 0.038166, 230),
(better, 0.037848, 231),
(british, 0.037661, 232),
(business, 0.037624, 233),
(less, 0.037531, 234),
(taken, 0.037410, 235),
(done, 0.037324, 236),
(hand, 0.037197, 237),
(having, 0.037115, 238),
(thing, 0.037049, 239),
(looked, 0.037014, 240),
(london, 0.036994, 241),
(area, 0.036977, 242),
(water, 0.036908, 243),
(perhaps, 0.036868, 244),
(face, 0.036804, 245),
(best, 0.036726, 246),
(mm, 0.036606, 247),
(form, 0.036310, 248),
(family, 0.036288, 249),
(general, 0.036222, 250),
(though, 0.036184, 251),
(already, 0.036082, 252),
(possible, 0.035962, 253),
(nothing, 0.035842, 254),
(early, 0.035820, 255),
(large, 0.035533, 256),
(yet, 0.035514, 257),
(young, 0.035365, 258),
(side, 0.035291, 259),
(asked, 0.035164, 260),
(whether, 0.034900, 261),
(days, 0.034797, 262),
(ca, 0.034770, 263),
(called, 0.034766, 264),
(john, 0.034568, 265),
(enough, 0.034294, 266),
(development, 0.034101, 267),
(week, 0.033901, 268),
(round, 0.033714, 269),
(power, 0.033700, 270),
(change, 0.033682, 271),
(country, 0.033570, 272),
(almost, 0.033237, 273),
(council, 0.032980, 274),
(himself, 0.032704, 275),
(room, 0.032534, 276),
(tell, 0.032379, 277),
(service, 0.032243, 278),
(political, 0.032160, 279),
(far, 0.032091, 280),
(able, 0.031997, 281),
(six, 0.031965, 282),
(become, 0.031949, 283),
(open, 0.031871, 284),
(market, 0.031648, 285),
(times, 0.031471, 286),
(whole, 0.031417, 287),
(support, 0.031390, 288),
(half, 0.031334, 289),
(eyes, 0.031255, 290),
(members, 0.031226, 291),
(working, 0.030778, 292),
(control, 0.030630, 293),
(major, 0.030605, 294),
(problem, 0.030504, 295),
(doing, 0.030276, 296),
(court, 0.030251, 297),
(towards, 0.030093, 298),
(mind, 0.029960, 299),
(anything, 0.029799, 300),
(others, 0.029732, 301),
(felt, 0.029503, 302),
(war, 0.029358, 303),
(car, 0.029328, 304),
(police, 0.029307, 305),
(keep, 0.029265, 306),
(full, 0.029247, 307),
(making, 0.029218, 308),
(either, 0.029215, 309),
(held, 0.029202, 310),
(report, 0.029156, 311),
(interest, 0.029051, 312),
(once, 0.028989, 313),
(problems, 0.028929, 314),
(act, 0.028901, 315),
(road, 0.028831, 316),
(probably, 0.028728, 317),
(available, 0.028603, 318),
(labour, 0.028523, 319),
(law, 0.028444, 320),
(research, 0.028401, 321),
(following, 0.028396, 322),
(am, 0.028273, 323),
(level, 0.028171, 324),
(show, 0.028140, 325),
(saw, 0.028132, 326),
(looking, 0.028028, 327),
(feel, 0.027773, 328),
(today, 0.027717, 329),
(name, 0.027677, 330),
(mother, 0.027624, 331),
(past, 0.027614, 332),
(question, 0.027587, 333),
(let, 0.027460, 334),
(knew, 0.027443, 335),
(education, 0.027364, 336),
(actually, 0.027346, 337),
(policy, 0.027324, 338),
(ever, 0.027256, 339),
(known, 0.027170, 340),
(above, 0.027092, 341),
(office, 0.027025, 342),
(big, 0.026917, 343),
(clear, 0.026870, 344),
(body, 0.026858, 345),
(door, 0.026689, 346),
(voice, 0.026617, 347),
(across, 0.026517, 348),
(britain, 0.026411, 349),
(person, 0.026286, 350),
(together, 0.026263, 351),
(main, 0.026232, 352),
(services, 0.026228, 353),
(care, 0.026204, 354),
(black, 0.026200, 355),
(book, 0.026119, 356),
(months, 0.026113, 357),
(turned, 0.025951, 358),
(using, 0.025950, 359),
(health, 0.025934, 360),
(sure, 0.025879, 361),
(white, 0.025836, 362),
(million, 0.025831, 363),
(words, 0.025720, 364),
(child, 0.025669, 365),
(period, 0.025579, 366),
(minister, 0.025477, 367),
(including, 0.025383, 368),
(several, 0.025255, 369),
(father, 0.025241, 370),
(society, 0.025090, 371),
(seemed, 0.025056, 372),
(kind, 0.025038, 373),
(began, 0.024989, 374),
(god, 0.024984, 375),
(top, 0.024975, 376),
(start, 0.024963, 377),
(itself, 0.024950, 378),
(behind, 0.024934, 379),
(themselves, 0.024912, 380),
(wanted, 0.024868, 381),
(economic, 0.024795, 382),
(love, 0.024682, 383),
(means, 0.024676, 384),
(upon, 0.024631, 385),
(areas, 0.024581, 386),
(effect, 0.024579, 387),
(likely, 0.024520, 388),
(english, 0.024476, 389),
(city, 0.024460, 390),
(therefore, 0.024430, 391),
(woman, 0.024425, 392),
(real, 0.024389, 393),
(position, 0.024388, 394),
(centre, 0.024385, 395),
(south, 0.024381, 396),
(england, 0.024379, 397),
(community, 0.024290, 398),
(view, 0.024225, 399),
(gave, 0.024144, 400),
(hard, 0.024132, 401),
(job, 0.024086, 402),
(among, 0.024057, 403),
(staff, 0.023909, 404),
(read, 0.023885, 405),
(process, 0.023875, 406),
(line, 0.023873, 407),
(future, 0.023831, 408),
(particular, 0.023524, 409),
(provide, 0.023486, 410),
(present, 0.023479, 411),
(became, 0.023475, 412),
(taking, 0.023441, 413),
(international, 0.023374, 414),
(study, 0.023346, 415),
(moment, 0.023302, 416),
(run, 0.023280, 417),
(special, 0.023272, 418),
(result, 0.023251, 419),
(action, 0.023251, 420),
(difficult, 0.023183, 421),
(pay, 0.023172, 422),
(particularly, 0.023158, 423),
(sense, 0.023080, 424),
(age, 0.022997, 425),
(order, 0.022950, 426),
(management, 0.022931, 427),
(idea, 0.022835, 428),
(certain, 0.022759, 429),
(north, 0.022754, 430),
(light, 0.022732, 431),
(play, 0.022732, 432),
(sort, 0.022642, 433),
(west, 0.022618, 434),
(evidence, 0.022601, 435),
(try, 0.022510, 436),
(close, 0.022495, 437),
(experience, 0.022489, 438),
(rather, 0.022455, 439),
(land, 0.022447, 440),
(third, 0.022303, 441),
(seems, 0.022300, 442),
(believe, 0.022292, 443),
(morning, 0.022248, 444),
(outside, 0.022233, 445),
(turn, 0.022123, 446),
(else, 0.022014, 447),
(free, 0.021956, 448),
(meeting, 0.021887, 449),
(leave, 0.021778, 450),
(cost, 0.021691, 451),
(church, 0.021615, 452),
(death, 0.021597, 453),
(sometimes, 0.021588, 454),
(thus, 0.021557, 455),
(training, 0.021539, 456),
(range, 0.021493, 457),
